Date,Basal energy burned(Cal),Active energy burned(Cal),Distance walking / running(mi),Exercise time(min),Flights climbed(count),Heart rate(count/min),Resting heart rate(count/min),Stand time(min),Step count(count),Walking heart rate average(count/min)
5/17/2021,443.849,150.054,1.42,2,8,76.67,65,46,3327.492,105
5/18/2021,1806.151,403.739,2.665,14,10,80.632,67,95,5902.811,93
5/19/2021,1827.665,381.14,1.442,12,8.72,73.736,56,57,3153.29,92
5/20/2021,1809.179,333.287,1.762,13.176,12.089,70.015,63,65,3937.001,100
5/21/2021,1769.587,262.946,1.381,9.824,12.911,68.498,58,45,3036.8,102.5
5/22/2021,1831.626,462.794,2.892,30,32.907,75.083,63,90,6413.303,106
5/23/2021,1808.886,449.274,2.374,28,21.857,71.248,64,77,5060.619,107.5
5/24/2021,1779.389,291.181,1.401,15,16.955,67.565,60,42,3056.676,97
5/25/2021,1787.122,244.135,1.373,10,7,71.805,55,56,3095.268,104
5/26/2021,1771.999,202.283,1.592,7,6,71.266,63,31,3882.662,102
5/27/2021,1781.744,227.832,0.862,7,12,68.997,65,24,1892,106
5/28/2021,1793.153,329.917,1.863,14,10.075,68.64,52,56,4128.429,97
5/29/2021,1817.811,479.636,3.35,34,32.068,68.534,53,139,7334.55,93
5/30/2021,1805.345,376.902,2.033,13,12,68.27,62,89,4476.691,96
5/31/2021,1824.34,415.471,2.143,21,23,70.186,62,78,4529.309,97
6/1/2021,1813.804,354.152,1.697,16,12,73.74,61,52,3833,111
6/2/2021,1749.751,235.38,0.816,5,10,63.654,56,27,1921,98
6/3/2021,1729.853,139.194,1.338,8,12,84.232,72,26,3283.243,86
6/4/2021,1720.383,66.517,0.783,8,7,81.081,73,14,2000,99.5
6/5/2021,1717.377,171.757,1.748,24,21.796,64.635,55,24,4181,115
6/6/2021,1732.806,185.625,0.707,9,10,62.049,52,11,1632,130
6/7/2021,1762.947,175.268,0.582,6,7.677,68.855,60,12,1328.179,105
6/8/2021,1748.803,207.952,2.423,14,15,92.666,67,72,5784.648,102
6/9/2021,1739.798,113.914,1.281,14,11.808,80.577,69,17,3039.986,113
6/10/2021,1834.514,393.52,2.103,11,10.89,68.736,59,65,4710.223,115.5
6/11/2021,1819.76,301.69,1.512,6,8,67.399,59,62,3443,101
6/12/2021,1813.603,318.854,1.844,14,11,67.919,58,57,4178.427,107
6/13/2021,1759.763,223.233,2.569,9,17,66.825,61,89,6055.921,105.5
6/14/2021,1704.439,15.191,0.692,7,9,83,61,89,1884,105.5
6/15/2021,1914.619,767.49,5.352,77,36.463,100.69,76,204,11776,123
6/16/2021,1745.704,147.137,0.851,9,13,79.312,60,17,1967.611,112
6/17/2021,1824.652,452.898,2.755,28,16,88.007,68,102,6100.981,115
6/18/2021,1805.132,281.228,1.92,12,10,87.681,65,59,4378.236,118.5
6/19/2021,1832.623,378.685,3.071,19,15,86.931,58.5,111,6989,109
6/20/2021,1753.821,130.619,2.339,2,4,62.683,51,20,6097,114
6/21/2021,1836.325,632.162,6.313,17,3,77.065,55,164,13974.405,94
6/22/2021,1789.168,233.162,0.886,5,3,72.947,51,21,2015.673,112
6/23/2021,1790.55,440.378,3.577,28,18,81.019,53,114,8309.422,109
6/24/2021,1798.441,422.136,3.698,33,4,77.081,53,154,8353.946,109
6/25/2021,1813.077,328.024,2.816,9,7,88.125,62.5,121,6799.144,98
6/26/2021,1905.228,671.345,5.129,12,8,75.219,62.5,220,11932.959,98
6/27/2021,1658.312,49.006,0.847,12,6,58.89,51,9,2119.436,98
6/28/2021,1803.398,252.038,1.794,8,12,90.357,77,59,4070.487,109
6/29/2021,1861.352,508.908,3.603,14,13,74.886,54,140,8143,99
6/30/2021,1821.273,331.884,1.72,6,5,67.854,53,67,3909,98.5
7/1/2021,1913.28,536.821,3.966,19,14,81.228,54,154,9006,111
7/2/2021,1778.113,177.6,0.961,8,9,78.524,60,28,2214.34,115
7/3/2021,1904.572,690.274,3.891,55,22.522,86.948,56,181,8512,93
7/4/2021,1884.892,687.069,4.178,70,32,90.049,59,156,8929.111,109
7/5/2021,1843.15,551.093,4.162,44,15.678,80.601,55,80,7917.774,109
7/6/2021,1903.053,735.107,5.055,51,16.721,87.203,56,134,9871,114.5
7/7/2021,1821.046,513.423,3.665,40,8,84.994,52,97,6664.601,101
7/8/2021,1923.154,760.62,5.509,49,11,87.015,62,158,11177.674,105.5
7/9/2021,1791.03,353.281,2.379,25,10,67.919,49,84,5110,115.5
7/10/2021,1809.698,715.508,5.328,75.943,22,85.881,53,127,10690,119
7/11/2021,1816.832,665.485,5.749,69.057,36.024,87.978,56,177,11210,114
7/12/2021,1794.146,422.557,2.953,51,23.245,73.79,57,110,6604.294,98
7/13/2021,1814.663,439.064,2.795,28,11,78.383,68,90,5581,100
7/14/2021,1836.697,525.911,3.407,42,8,78.192,55,103,6932.198,108
7/15/2021,1887.781,460.911,2.578,14.86,8,68.19,51,103,5600.198,95
7/16/2021,1848.826,468.922,3.284,32.14,26,60.918,46,117,7124.802,90.5
7/17/2021,1889.38,619.927,5.388,32,15.194,75.277,56,200,11889.492,90
7/18/2021,1845.446,466.336,3.914,14,16.515,62.938,45,156,8700.259,94
7/19/2021,1902.426,781.707,6.711,67,31.288,72.933,58,217,14183.283,104
7/20/2021,1927.041,642.077,5.153,20,13,67.838,53,231,12074.803,91
7/21/2021,1838.03,417.555,3.488,7,4,78.268,59,155,8165,98.5
7/22/2021,1873.747,520.733,3.777,4,4,66.906,60,175,8574.027,94
7/23/2021,1870.854,395.552,1.587,5,2,62.619,48,111,3650.662,88.5
7/24/2021,1869.549,550.054,4.72,21,11.524,72.492,48,225,11000.103,110
7/25/2021,1882.468,671.111,6.224,41,14,96.987,71,222,14206.495,110
7/26/2021,1813.443,306.459,1.976,8,6.848,67.049,48,71,4315.712,101
7/27/2021,1878.062,494.5,3.137,16,20,68.279,50,137,6854,89
7/28/2021,1855.496,449.548,3.866,23,19,81.729,60,151,8698,99
7/29/2021,1884.519,451.369,2.618,20,19,65.65,46,89,5803.097,113
7/30/2021,1828.55,290.231,1.552,9,12.404,65.374,55,44,3437.952,88
7/31/2021,1840.682,334.627,1.389,10,7,58.691,44,44,3101.489,93
8/1/2021,1831.781,385.037,2.83,19,17,63.098,47,89,6439.717,94
8/2/2021,1854.697,447.354,2.991,22,20,64.543,49,116,6739.855,90.5
8/3/2021,1822.734,348.219,2.123,17,13.537,65.076,47,78,4734,97
8/4/2021,1848.565,364.733,1.858,16,8.946,62.541,49,39,3863,104
8/5/2021,1882.608,424.993,2.384,10,9,65.704,46,83,5295.238,102
8/6/2021,1745.292,130.603,1.331,5,9,53.863,44,11,3132.508,102
8/7/2021,1767.794,191.582,1.497,11,12.545,95.667,76,46,3328,125
8/8/2021,1878.883,437.948,2.716,15,13,64.064,47,94,6139.415,93
8/9/2021,1802.12,261.914,1.589,13,11.693,63.863,47,53,3482.611,111
8/10/2021,1864.25,442.268,2.583,13,13,65.696,48,75,5855.532,99.5
8/11/2021,1818.217,346.556,2.308,16,11,62.103,46,65,5223.738,89.5
8/12/2021,1725.18,124.069,1.222,11,11,56.803,47,12,2886,80
8/13/2021,1772.341,396.045,2.77,26,21,64.206,48,82,6222.011,103
8/14/2021,1801.039,463.928,3.582,27,15,67.344,47,100,7907.967,100
8/15/2021,1826.759,763.553,7.177,94,20.201,83.274,50,201,15484.361,111
8/16/2021,1874.997,644.488,4.16,34,40,67.306,50,168,9084.333,81
8/17/2021,1825.302,465.557,2.835,28,18.818,65.444,47,68,6429.554,99.5
8/18/2021,1799.642,573.978,5.71,43,19,65.524,46,185,13367.624,105
8/19/2021,1729.488,278.041,2.638,20,11.99,64.451,47,57,5801.228,105
8/20/2021,1899.936,860.059,7.624,45,37,76.501,49,338,17322.012,99
